barcode ,unknown,row ,tiller_count,gs39_DAS,gs55_DAS,GS65_DAS,FlagLeafSenescence_DAS,disease_score1,disease_score2
W8-184112,,E6,11,128,133,140,124,3,4
W8-063111,,C3,11,125,132,138,143,2,2
W8-075112,,D5,10,104,110,129,147,2,2
W8-171112,,C6,11,111,119,129,147,3,2
W8-169111,,B1,8,123,132,138,150,3,3
W8-168111,,C1,11,123,132,150,150,1,2
W8-219111,,C1,8,113,218,150,150,0,0
W8-180111,,C1,10,120,132,113,150,4,4
W8-150111,,C1,15,?,?,129,150,1,1
W8-011111,Xi-19-1,D1,9,106,113,129,150,1,3
W8-059111,,G1,10,123,132,140,150,2,2
W8-012111,Zircon,G1,10,109,111,,150,0,0
W8-075111,,A2,10,104,113,129,150,1,1
W8-033111,,A2,10,109,113,129,150,2,2
W8-111111,,C2,10,104,113,154,150,1,1
W8-217111,,C2,10,123,130,136,150,3,2
W8-004111,Cadenza,E2,10,106,109,129,150,1,1
W8-032111,,B3,11,134,144,,150,1,1
W8-204111,,C3,11,125,137,143,150,2,1
W8-114111,,C3,11,106,118,126,150,1,1
W8-028111,,D3,11,127,137,143,150,2,1
W8-207111,,D3,11,120,130,136,150,0,0
W8-097111,,E3,10,134,111,126,150,0,0
W8-068111,,A4,10,128,154,131,150,0,1
W8-061111,,A4,11,123,154,136,150,1,2
W8-034111,,B4,11,123,131,140,150,2,2
W8-062112,,E4,11,120,124,133,150,2,3
W8-180112,,G4,10,123,136,145,150,3,4
W8-150112,,G4,10,125,133,140,150,2,2
W8-011112,Xi-19-1,A5,10,106,112,129,150,2,2
W8-208112,,C5,11,120,126,131,150,4,4
W8-059112,,D5,11,120,129,136,150,3,4
W8-033112,,D5,11,104,112,129,150,3,3
W8-133112,,E5,10,109,119,129,150,1,1
W8-111112,,F5,10,104,140,129,150,0,0
W8-047112,,F5,10,123,129,136,150,1,2
W8-065112,,G5,10,118,122,138,150,1,1
W8-126112,,D6,11,125,129,143,150,4,4
W8-010112,Soissons-1,E6,11,111,119,129,150,0,1
W8-078112,,E6,11,125,133,143,150,3,4
W8-032112,,E6,11,111,122,131,150,1,1
W8-114112,,G6,10,111,122,133,150,2,0
W8-082112,,B7,11,127,133,143,150,2,3
W8-097112,,B7,10,109,138,129,150,0,0
W8-192112,,C7,11,127,134,143,150,2,1
W8-068112,,D7,11,123,129,133,150,1,2
W8-061112,,E7,11,116,126,136,150,2,3
W8-022112,,F7,11,123,129,140,150,3,3
W8-062111,,A1,16,125,130,136,152,2,2
W8-005111,Claire-4,B1,15,120,125,136,152,0,1
W8-162111,,C2,10,123,130,136,152,1,2
W8-066111,,G2,11,?,125,136,152,1,1
W8-139111,,A4,10,109,117,136,152,2,2
W8-064111,,C4,11,116,119,126,152,1,1
W8-168112,,F4,10,125,136,145,152,1,1
W8-183112,,F5,11,127,140,150,152,1,3
W8-066112,,C6,11,116,122,131,152,2,2
W8-086112,,C7,11,125,129,136,152,2,2
W8-208111,,F1,16,123,127,136,153,2,3
W8-213111,,B1,8,125,137,143,154,2,3
W8-067111,,C1,21,123,132,143,154,1,1
W8-151111,,B2,11,116,123,129,154,3,3
W8-078111,,B3,11,120,130,136,154,2,3
W8-159111,,B4,10,127,136,143,154,3,3
W8-053111,,B4,11,127,136,145,154,4,4
W8-098111,,A1,10,125,132,158,158,1,1
W8-079111,,B1,33,125,132,138,158,2,2
W8-039111,,D1,15,123,132,138,158,2,2
W8-176111,,A2,11,123,132,138,158,1,1
W8-183111,,B2,11,120,130,136,158,3,3
W8-181111,,C2,11,123,132,140,158,2,2
W8-081111,,D2,11,120,127,136,158,1,1
W8-106111,,E2,10,109,118,126,158,1,2
W8-105111,,E2,11,120,125,138,158,2,1
W8-186111,,F2,10,123,132,136,158,1,1
W8-026111,,A3,11,125,137,143,158,1,1
W8-167111,,B3,11,123,130,140,158,2,1
W8-215111,,C3,11,120,127,133,158,2,1
W8-152111,,B4,10,123,136,143,158,4,4
W8-087111,,C4,11,125,133,143,158,2,2
W8-085112,,A5,11,130,143,145,158,0,0
W8-012112,Zircon,D5,11,104,140,124,158,0,0
W8-004112,Cadenza,A6,10,104,108,129,158,1,1
W8-153112,,B6,11,127,136,150,158,2,2
W8-182112,,C6,11,123,129,136,158,3,0
W8-167112,,E6,10,123,131,143,158,1,2
W8-189112,,B7,11,127,136,145,158,2,2
W8-092112,,B7,11,120,129,136,158,2,2
W8-152112,,E7,11,127,138,150,158,4,4
W8-034112,,E7,11,125,133,143,158,2,2
W8-159112,,F7,10,130,143,152,158,2,2
W8-202112,,G7,10,109,117,129,158,1,1
W8-027112,,G7,11,125,133,143,158,4,4
W8-069111,,A1,14,130,139,147,160,3,3
W8-058111,,B1,20,127,134,143,160,2,2
W8-007111,KWS Santiago,B1,21,125,134,143,160,1,1
W8-194111,,D1,7,125,134,143,160,0,1
W8-073111,,A2,11,125,132,138,160,2,2
W8-052111,,D2,11,127,139,143,160,1,1
W8-089111,,D2,11,130,134,143,160,2,2
W8-060111,,E2,11,125,134,143,160,2,2
W8-153111,,E2,11,125,137,147,160,2,2
W8-123111,,G2,10,130,141,150,160,2,2
W8-126111,,A3,11,120,130,136,160,3,4
W8-184111,,A3,11,125,132,140,160,2,2
W8-051111,,A3,11,123,132,143,160,0,0
W8-010111,Soissons-1,A3,11,113,120,,160,1,1
W8-127111,,B3,10,116,120,129,160,1,1
W8-018111,,C3,10,125,130,143,160,2,2
W8-031111,,D3,11,127,134,143,160,3,3
W8-077111,,E3,11,125,132,140,160,1,2
W8-094111,,F3,10,127,138,147,160,2,3
W8-192111,,G3,11,130,143,154,160,1,2
W8-220111,,B4,11,116,117,129,160,2,0
W8-143111,,B4,11,123,131,138,160,2,3
W8-022111,,C4,11,123,129,138,160,3,3
W8-202111,,D4,11,109,117,126,160,1,1
W8-027111,,D4,11,125,133,143,160,3,4
W8-098112,,D4,11,130,126,138,160,2,2
W8-169112,,E4,10,123,133,143,160,3,3
W8-213112,,E4,11,127,136,145,160,3,3
W8-170112,,E4,10,130,140,145,160,2,2
W8-219112,,F4,10,120,124,131,160,1,1
W8-043112,,B5,10,125,136,143,160,2,1
W8-109112,,E5,10,125,129,140,160,4,4
W8-151112,,E5,11,127,143,150,160,4,4
W8-105112,,B6,10,113,119,129,160,3,2
W8-123112,,C6,11,127,133,143,160,2,3
W8-177112,,D6,11,123,131,138,160,2,3
W8-018112,,F6,11,125,136,147,160,1,2
W8-002112,Avalon,F6,11,125,136,147,160,2,2
W8-115112,,C7,11,130,138,152,160,2,1
W8-049112,,C7,11,120,129,136,160,2,2
W8-214112,,D7,11,125,134,140,160,3,4
W8-054112,,D7,11,127,140,147,160,2,3
W8-157112,,E7,11,130,140,147,160,2,2
W8-087112,,F7,11,127,136,145,160,1,2
W8-064112,,G7,11,120,126,133,160,1,2
W8-155111,,A1,10,125,132,143,166,1,1
W8-170111,,B1,16,125,132,,166,2,2
W8-134111,,C1,8,120,132,116,166,1,1
W8-113111,,D1,12,123,130,140,166,0,1
W8-108111,,F1,10,127,139,147,166,1,1
W8-209111,,F1,10,125,134,150,166,1,1
W8-145111,,F1,15,127,139,152,166,0,1
W8-024111,,G1,17,130,141,150,166,1,2
W8-044111,,A2,11,124,137,143,166,1,1
W8-109111,,B2,11,120,127,143,166,3,3
W8-164111,,C2,10,132,144,150,166,2,2
W8-047111,,C2,10,120,125,129,166,1,1
W8-091111,,C2,11,120,132,138,166,1,1
W8-038111,,D2,11,125,137,143,166,1,1
W8-171111,,F2,11,113,123,126,166,1,1
W8-191111,,A3,11,125,137,158,166,2,2
W8-009111,Robigus-1,B3,10,125,137,143,166,1,1
W8-137111,,B3,11,116,125,129,166,1,1
W8-048111,,C3,11,127,139,,166,2,1
W8-140111,,C3,10,116,123,140,166,1,1
W8-037111,,D3,11,123,127,133,166,2,2
W8-036111,,D3,11,127,134,143,166,2,2
W8-082111,,E3,11,127,139,147,166,2,2
W8-115111,,F3,10,134,147,158,166,1,0
W8-158111,,G3,11,130,143,150,166,2,2
W8-015111,,A4,10,123,131,136,166,3,3
W8-046111,,A4,11,125,136,150,166,0,1
W8-175111,,C4,11,123,126,143,166,2,2
W8-116111,,C4,11,123,131,140,166,2,1
W8-188112,,E4,11,127,140,154,166,0,1
W8-005112,Claire-4,F4,10,120,126,,166,1,0
W8-056112,,F4,10,130,143,145,166,2,1
W8-067112,,F4,10,127,138,145,166,0,0
W8-108112,,B5,11,125,133,143,166,3,2
W8-090112,,C5,11,127,136,158,166,1,1
W8-122112,,C5,11,127,133,,166,1,1
W8-044112,,D5,11,125,138,150,166,2,1
W8-176112,,E5,11,130,138,147,166,1,1
W8-162112,,G5,10,127,136,147,166,1,1
W8-083112,,G5,10,132,143,152,166,1,2
W8-089112,,A6,11,125,133,158,166,2,1
W8-106112,,A6,10,109,117,127,166,1,1
W8-040112,,B6,11,123,129,136,166,3,3
W8-186112,,B6,10,123,131,136,166,1,2
W8-166112,,C6,10,130,136,150,166,1,1
W8-191112,,D6,11,123,131,,166,1,1
W8-026112,,D6,11,130,140,147,166,1,1
W8-055112,,E6,11,127,138,147,166,1,0
W8-203112,,F6,10,127,138,147,166,1,1
W8-127112,,F6,10,120,126,136,166,1,2
W8-137112,,F6,10,120,126,133,166,1,0
W8-215112,,F6,11,123,129,138,166,0,1
W8-207112,,G6,10,120,131,140,166,1,1
W8-070112,,A7,11,132,131,140,166,2,1
W8-132112,,B7,11,130,136,143,166,1,1
W8-094112,,B7,11,127,136,145,166,2,2
W8-161112,,C7,11,127,136,145,166,2,1
W8-158112,,D7,11,125,142,143,166,3,2
W8-015112,,D7,10,125,131,138,166,4,3
W8-096112,,D7,11,113,122,131,166,4,3
W8-046112,,D7,11,127,136,143,166,1,1
W8-093112,,E7,11,123,129,136,166,0,1
W8-139112,,E7,11,109,117,131,166,1,2
W8-220112,,E7,11,116,122,129,166,2,2
W8-053112,,F7,11,130,138,147,166,2,1
W8-188111,,A1,14,130,141,158,171,0,0
W8-099111,,B1,15,123,132,,171,1,2
W8-056111,,C1,10,127,137,171,171,1,1
W8-125111,,D1,11,130,139,150,171,0,1
W8-195111,,D1,13,130,144,150,171,0,0
W8-043111,,E1,15,127,139,145,171,1,1
W8-101111,,E1,17,125,134,158,171,1,1
W8-142111,,F1,10,123,130,158,171,0,0
W8-144111,,G1,10,125,134,147,171,1,1
W8-199111,,A2,10,125,134,147,171,1,1
W8-216111,,A2,11,125,137,150,171,2,2
W8-147111,,B2,11,125,134,,171,2,2
W8-065111,,C2,11,125,137,143,171,2,2
W8-154111,,D2,11,123,132,143,171,3,2
W8-035111,,D2,11,125,134,143,171,2,2
W8-119111,,E2,10,120,127,136,171,1,1
W8-040111,,E2,11,123,132,140,171,3,3
W8-138111,,A3,11,123,130,133,171,1,1
W8-045111,,C3,11,123,130,136,171,1,1
W8-117111,,D3,11,125,134,140,171,1,1
W8-020111,,D3,11,125,134,145,171,2,2
W8-016111,,E3,11,125,134,143,171,1,0
W8-013111,,E3,11,123,134,140,171,2,3
W8-049111,,G3,11,127,138,147,171,2,2
W8-096111,,A4,10,120,152,136,171,3,3
W8-187111,,B4,10,116,126,133,171,2,2
W8-130111,,B4,11,125,133,140,171,1,1
W8-001111,Alchemy-1A,C4,11,123,129,140,171,3,3
W8-155112,,D4,11,125,133,143,171,2,1
W8-069112,,E4,10,127,138,147,171,3,3
W8-058112,,F4,11,127,138,150,171,2,2
W8-039112,,G4,11,130,140,150,171,2,2
W8-113112,,A5,10,120,126,136,171,0,1
W8-072112,,A5,11,127,136,143,171,0,0
W8-160112,,B5,11,127,136,,171,2,2
W8-142112,,C5,10,120,126,,171,1,1
W8-144112,,C5,10,123,131,158,171,2,2
W8-091112,,F5,11,127,138,147,171,2,2
W8-081112,,G5,10,125,133,145,171,0,0
W8-110112,,A6,11,130,138,147,171,1,1
W8-035112,,A6,11,127,131,140,171,2,2
W8-119112,,A6,10,116,122,131,171,0,0
W8-042112,,B6,10,139,150,158,171,0,1
W8-128112,,C6,11,134,145,158,171,1,3
W8-138112,,D6,10,123,131,140,171,2,2
W8-051112,,E6,11,125,133,143,171,0,1
W8-037112,,A7,11,120,126,136,171,1,1
W8-013112,,A7,11,125,133,140,171,3,3
W8-084112,,C7,11,130,140,150,171,3,2
W8-178112,,C7,11,127,136,143,171,3,2
W8-074112,,C7,11,127,136,143,171,1,0
W8-187112,,E7,10,123,129,136,171,0,1
W8-143112,,F7,10,127,140,152,171,3,2
W8-116112,,F7,11,125,136,145,171,1,0
W8-001112,Alchemy-1A,G7,11,125,129,143,171,1,1
W8-107112,,G7,10,123,131,,171,1,1
W8-107111,,C4,10,120,129,,172,1,1
W8-041111,,D1,13,127,139,145,175,1,1
W8-085111,,E1,12,130,144,150,175,1,1
W8-206111,,E1,12,130,141,152,175,0,0
W8-160111,,F1,12,127,137,150,175,1,1
W8-165111,,F1,18,134,148,152,175,1,1
W8-076111,,G1,15,130,137,145,175,1,2
W8-210111,,A2,10,130,139,147,175,1,2
W8-102111,,B2,10,125,139,,175,1,1
W8-110111,,D2,11,130,144,150,175,1,1
W8-025111,,D2,11,127,137,143,175,1,1
W8-166111,,F2,10,137,148,158,175,0,1
W8-182111,,F2,10,125,134,143,175,1,0
W8-128111,,F2,11,139,153,160,175,3,3
W8-190111,,G2,10,125,139,158,175,2,2
W8-177111,,G2,10,125,139,150,175,1,2
W8-055111,,A3,11,127,136,143,175,0,0
W8-203111,,B3,11,127,137,143,175,1,2
W8-185111,,D3,10,132,144,150,175,3,2
W8-070111,,E3,10,127,137,150,175,1,1
W8-196111,,E3,11,130,141,150,175,1,0
W8-189111,,F3,11,137,147,158,175,3,2
W8-050111,,A4,11,132,143,150,175,1,1
W8-093111,,A4,10,125,133,140,175,2,2
W8-129111,,B4,11,123,129,133,175,1,2
W8-112111,,D4,10,132,143,158,175,2,1
W8-030112,,D4,11,130,140,150,175,1,1
W8-079112,,F4,11,127,138,147,175,3,3
W8-134112,,G4,11,123,133,143,175,1,2
W8-194112,,G4,10,123,136,150,175,1,0
W8-124112,,B5,11,123,133,145,175,2,2
W8-101112,,B5,11,125,136,171,175,1,1
W8-209112,,B5,11,127,138,,175,2,2
W8-165112,,B5,11,132,143,150,175,2,2
W8-145112,,C5,11,127,138,150,175,0,1
W8-076112,,C5,10,127,136,143,175,1,1
W8-199112,,D5,11,125,133,145,175,1,1
W8-073112,,D5,11,125,133,138,175,2,2
W8-023112,,E5,11,132,143,152,175,2,2
W8-216112,,E5,11,?,129,143,175,3,3
W8-141112,,E5,11,130,138,147,175,1,1
W8-164112,,F5,11,137,147,154,175,2,3
W8-181112,,F5,11,130,140,147,175,2,1
W8-212112,,G5,11,132,143,152,175,2,2
W8-217112,,G5,10,127,138,150,175,2,2
W8-154112,,G5,11,130,140,154,175,2,2
W8-100112,,C6,10,120,126,131,175,4,4
W8-071112,,D6,11,130,138,145,175,2,2
W8-174112,,D6,11,130,140,,175,1,2
W8-009112,Robigus-1,E6,11,125,140,150,175,1,2
W8-204112,,F6,11,132,143,152,175,1,1
W8-045112,,G6,11,125,133,140,175,2,2
W8-028112,,G6,11,130,140,152,175,1,1
W8-185112,,A7,11,130,143,152,175,2,2
W8-016112,,A7,11,127,136,143,175,1,0
W8-050112,,D7,11,130,117,,175,2,2
W8-130112,,E7,11,127,136,143,175,2,2
W8-175112,,F7,11,125,133,,175,2,1
W8-112112,,G7,10,127,140,150,175,0,0
W8-017111,,B2,11,143,155,171,177,1,1
W8-030111,,A1,29,127,142,178,178,1,1
W8-211111,,C1,14,130,144,,178,0,1
W8-179111,,D1,11,130,146,152,178,1,1
W8-008111,,D1,12,130,139,152,178,1,1
W8-019111,,E1,22,130,139,150,178,1,1
W8-146111,,E1,6,134,146,158,178,1,1
W8-124111,,E1,15,123,134,143,178,0,0
W8-141111,,B2,11,130,139,150,178,1,1
W8-131111,,B3,11,130,141,150,178,2,1
W8-092111,,F3,10,125,133,150,178,1,0
W8-086111,,F3,10,132,143,145,178,0,1
W8-157111,,A4,11,134,147,158,178,0,0
W8-195112,,A5,10,132,147,154,178,1,1
W8-024112,,C5,11,132,143,152,178,2,2
W8-060112,,A6,11,127,136,145,178,2,2
W8-197112,,B6,11,127,136,,178,1,0
W8-121112,,C6,11,127,136,152,178,2,2
W8-131112,,F6,10,132,143,154,178,1,1
W8-048112,,F6,11,137,147,158,178,1,0
W8-140112,,G6,10,120,124,133,178,2,2
W8-020112,,A7,11,130,136,175,178,1,0
W8-077112,,A7,11,125,129,138,178,1,1
W8-120112,,B7,11,127,140,152,178,1,1
W8-129112,,F7,10,123,133,140,178,2,1
W8-003111,Brompton-1A,C1,22,130,137,180,180,1,1
W8-090111,,G1,10,132,148,171,180,0,0
W8-122111,,G1,11,127,139,154,180,1,1
W8-133111,,B2,10,125,132,138,180,1,2
W8-163111,,E2,11,132,144,152,180,2,2
W8-100111,,G2,10,125,132,138,180,3,3
W8-088111,,A3,11,127,134,143,180,1,1
W8-146112,,A5,10,132,143,154,180,3,2
W8-205112,,D5,11,132,145,152,180,1,0
W8-038112,,G5,11,130,143,152,180,1,0
W8-163112,,A6,10,134,143,158,180,2,2
W8-014112,,B6,11,132,143,154,180,1,1
W8-190112,,D6,11,123,133,154,180,2,2
W8-200112,,D7,11,132,140,,180,1,1
W8-057111,,A1,19,130,141,150,182,2,2
W8-023111,,A2,11,137,144,152,182,2,2
W8-212111,,C2,10,130,141,147,182,3,3
W8-021111,,F2,11,134,144,150,182,1,2
W8-197111,,F2,11,130,139,166,182,1,1
W8-071111,,G2,11,137,146,158,182,3,2
W8-080111,,D3,11,132,146,154,182,0,0
W8-120111,,E3,11,130,144,158,182,1,1
W8-161111,,F3,10,132,143,145,182,1,1
W8-074111,,G3,11,132,143,154,182,1,0
W8-054111,,G3,10,134,150,158,182,3,3
W8-006111,Hereward-1A,C4,11,130,138,,182,3,2
W8-172111,,D4,10,132,143,,182,3,2
W8-029112,,D4,10,127,136,145,182,1,1
W8-057112,,E4,11,132,143,154,182,2,1
W8-007112,KWS Santiago,F4,11,132,143,150,182,1,1
W8-003112,Brompton-1A,G4,11,132,143,150,182,2,2
W8-008112,Rialto-4,A5,11,130,140,,182,0,0
W8-148112,,C5,11,130,138,,182,0,1
W8-210112,,E5,11,132,143,150,182,2,2
W8-052112,,G5,11,137,147,158,182,0,1
W8-218112,,B6,11,130,136,147,182,1,1
W8-021112,,B6,10,132,143,145,182,1,0
W8-198112,,E6,11,132,138,152,182,1,0
W8-031112,,G6,10,137,150,158,182,2,2
W8-196112,,A7,11,130,138,147,182,1,0
W8-193112,,F7,10,132,143,152,182,1,1
W8-006112,Hereward-1A,G7,11,132,143,180,182,3,2
W8-072111,,E1,14,130,141,150,185,0,0
W8-198111,,B3,11,132,141,150,185,1,1
W8-132111,,F3,10,134,147,145,185,1,1
W8-178111,,G3,10,130,140,150,185,4,3
W8-193111,,C4,10,130,143,158,185,1,1
W8-136112,,E4,11,137,147,,185,2,1
W8-019112,,A5,11,132,140,145,185,0,0
W8-149112,,C6,10,130,140,,185,1,1
W8-063112,,G6,11,132,140,150,185,2,2
W8-117112,,G6,11,130,140,150,185,1,1
W8-136111,,B1,14,134,144,152,189,1,1
W8-156111,,B2,10,134,148,154,189,1,1
W8-042111,,F2,11,139,151,158,189,1,0
W8-084111,,G3,11,137,147,158,189,3,2
W8-099112,,E4,11,132,140,154,189,0,0
W8-179112,,G4,10,139,152,160,189,1,0
W8-206112,,B5,11,132,143,154,189,0,0
W8-104112,,B7,11,134,147,154,189,1,1
W8-148111,,F1,13,137,148,160,193,1,1
W8-205111,,G1,11,139,151,160,193,1,1
W8-218111,,E2,10,132,146,154,193,1,1
W8-149111,,G2,10,137,151,158,193,2,1
W8-121111,,G2,11,137,148,,193,2,1
W8-173112,,A5,11,137,147,,193,3,2
W8-147112,,E5,11,132,143,,193,1,1
W8-102112,,F5,10,134,147,,193,0,0
W8-025112,,A6,11,132,140,150,193,1,1
W8-088112,,D6,11,134,143,154,193,0,1
W8-080112,,G6,11,139,150,160,193,1,1
W8-036112,,A7,10,137,147,160,193,2,1
W8-118112,,C7,10,127,138,152,193,0,0
W8-201111,,E3,11,137,145,154,194,0,0
W8-104111,,F3,11,137,150,158,194,1,2
W8-125112,,G4,10,137,147,158,194,1,1
W8-173111,,E1,11,141,148,,196,0,1
W8-095111,,G1,5,139,153,194,196,0,0
W8-014111,,F2,11,134,148,194,196,1,0
W8-174111,,G2,11,137,148,,196,1,1
W8-118111,,F3,11,130,140,150,196,0,0
W8-200111,,G3,10,134,150,150,196,1,0
W8-041112,,G4,10,141,150,160,196,1,0
W8-156112,,F5,11,139,150,158,196,1,1
W8-201112,,B7,11,137,147,158,196,0,0
W8-135111,,A1,20,139,151,166,199,0,0
W8-103111,,F1,11,146,159,166,199,0,0
W8-083111,,D2,10,139,153,160,199,0,0
W8-211112,,F4,11,139,150,,199,0,0
W8-135112,,D4,11,139,147,160,201,0,0
W8-172112,,G7,10,139,152,171,201,0,0
W8-103112,,B5,11,141,154,160,203,0,0
W8-214111,,G3,10,137,150,166,206,0,0
W8-029111,,A1,9,144,159,180,209,0,0
W8-002111,Avalon,C3,10,123,130,143,NA,1,1
W8-095112,,D5,10,141,152,166,NA,3,2
W8-017112,,F5,11,148,160,175,NA,1,1
