barcode ,,row ,tiller count,gs39,   gs55,GS65,flag leaf senescence,plant wt,stem ht,top internodeL,tiller no,1? earLength,2nd ear L,3rd ear L,1?fg lf L,1?ear wt,other ear wt,disease_score1,disease_score2
W8-147111,MEL 137a-1,B2,>,125,134,,171,96,53.5,33.5,22,13,12.5,12.5,41,4.02,50.9,2,2
W8-147112,MEL 137a-1,E5,>,132,143,,193,108,57,33.5,24,12.5,13,12,31.5,3.68,47.3,1,1
W8-148111,MEL 138-1,F1,13,137,148,160,193,76,44.5,29,19,11,10.5,10,31.5,3.11,28.2,1,1
W8-148112,MEL 138-1,C5,>,130,138,,182,70,46.5,27.5,20,11,11.5,11.5,27,3.72,31.2,0,1
W8-149111,MEL 139-1,G2,<,137,151,158,193,63,50.5,25,22,9,10.5,9.5,?,3.08,31.5,2,1
W8-149112,MEL 139-1,C6,<,130,140,,185,81,45.5,24.5,22,9.5,10,11,24,1.22,17.2,1,1
W8-150111,MEL 140-1b,C1,15,?,?,129,150,90,54,29,16,12,11.5,12,43,4.30,50.2,1,1
W8-150112,MEL 140-1b,G4,<,125,133,140,150,74,65,31.5,14,11,11,10.5,41.5,4.01,38.8,2,2
W8-151111,MEL 141-1,B2,>,116,123,129,154,68,67,37,12,10.5,10,9.5,40.5,4.41,34.6,3,3
W8-151112,MEL 141-1,E5,>,127,143,150,160,78,70.5,41,14,9.5,9.5,9.5,33,2.50,27.2,4,4
W8-152111,MEL 142-2,B4,<,123,136,143,158,68,68,39.5,19,9.5,9.5,9.5,32,2.63,30.2,4,4
W8-152112,MEL 142-2,E7,>,127,138,150,158,74,66,41.5,16,10,9.5,10,35,2.60,30.6,4,4
W8-153111,MEL 143-1,E2,>,125,137,147,160,60,41,28,17,12.5,12,12.5,39.5,2.83,31.3,2,2
W8-153112,MEL 143-1,B6,>,127,136,150,158,56,40.5,30,17,12,12,12,42,2.82,26.5,2,2
W8-154111,MEL 144-1a,D2,>,123,132,143,171,64,51.5,29,16,11,10,10,36.5,3.78,35.4,3,2
W8-154112,MEL 144-1a,G5,>,130,140,154,175,68,59.5,30.5,19,10,10,10.5,32.5,3.82,35.2,2,2
W8-155111,MEL 145-1,A1,10,125,132,143,166,62,48,19.5,15,9.5,10,9.5,24,3.57,36.7,1,1
W8-155112,MEL 145-1,D4,>,125,133,143,171,68,43,19.5,16,9.5,10,10,23.5,3.19,39.5,2,1
W8-156111,MEL 146-1a,B2,<,134,148,154,189,66,50.5,27,17,11,10.5,11.5,25.5,2.63,31.8,1,1
W8-156112,MEL 146-1a,F5,>,139,150,158,196,74,56.5,28,22,11.5,11,11.5,25.5,2.23,34.1,1,1
W8-157111,MEL 147-1,A4,>,134,147,158,178,75,72,36.5,12,11,11,10.5,31,4.05,32.9,0,0
W8-157112,MEL 147-1,E7,>,130,140,147,160,112,73,37,18,11.5,11,10,33.5,4.32,46.7,2,2
W8-158111,MEL 148-1a,G3,>,130,143,150,166,64,49.5,25,16,10,9,10,37,4.00,34.4,2,2
W8-158112,MEL 148-1a,D7,>,125,142,143,166,81,46,25,19,10.5,10,10,31.5,3.99,47.0,3,2
W8-159111,MEL 149-1,B4,<,127,136,143,154,70,60.5,30.5,16,12,12,12,37.5,4.09,34.6,3,3
W8-159112,MEL 149-1,F7,<,130,143,152,158,80,62.5,33,13,12,12,12,39,4.61,31.4,2,2
W8-160111,MEL 150-3,F1,12,127,137,150,175,72,51.5,25.5,17,14.5,14,14,30.5,4.31,39.6,1,1
W8-160112,MEL 150-3,B5,>,127,136,,171,68,45.5,25.5,16,14,13,14,34.5,4.01,36.4,2,2
W8-161111,MEL 151-1,F3,<,132,143,145,182,92,59.5,27.5,17,11.5,10,11.5,30,4.19,38.5,1,1
W8-161112,MEL 151-1,C7,>,127,136,145,166,78,54,28,17,11.5,11.5,10.5,32,4.61,39.3,2,1
W8-162111,MEL 152-1a,C2,<,123,130,136,152,80,61.5,28.5,14,11,10.5,11,29,5.25,44.6,1,2
W8-162112,MEL 152-1a,G5,<,127,136,147,166,70,65,32,12,11,10.5,9.5,36,4.81,33.4,1,1
W8-163111,MEL 153-1,E2,>,132,144,152,180,82,54.5,28.5,18,12,12,11.5,30,4.25,43.7,2,2
W8-163112,MEL 153-1,A6,<,134,143,158,180,70,49,28.5,17,12,12,12,35,3.76,35.4,2,2
W8-164111,MEL 154-1a,C2,<,132,144,150,166,37,29.5,22.5,17,10.5,10.5,11,30,2.52,21.4,2,2
W8-164112,MEL 154-1a,F5,>,137,147,154,175,36,32.5,21.5,21,10.5,11,10,31,2.22,19.0,2,3
W8-165111,MEL 155-1a,F1,18,134,148,152,175,62,52,30,17,9.5,10,10,31.5,3.23,32.4,1,1
W8-165112,MEL 155-1a,B5,>,132,143,150,175,68,51,26.5,22,10,10,9.5,28,3.35,32.6,2,2
W8-166111,MEL 156-1,F2,<,137,148,158,175,52,55,28.5,10,11.5,11,11.5,29.5,4.50,26.5,0,1
W8-166112,MEL 156-1,C6,<,130,136,150,166,70,53,29,17,12,11,11.5,26,4.29,36.1,1,1
W8-167111,MEL 157-1,B3,>,123,130,140,158,80,53,32,20,10,10.5,10,42,4.18,41.3,2,1
W8-167112,MEL 157-1,E6,<,123,131,143,158,92,54.5,32,14,10.5,10,10,42.5,4.99,45.3,1,2
W8-168111,MEL 158-1,C1,11,123,132,150,150,86,69,36.5,15,10.5,10.5,11,34.5,5.20,45.6,1,2
W8-168112,MEL 158-1,F4,<,125,136,145,152,84,65.5,38,15,11,10.5,10,40,4.69,41.4,1,1
W8-169111,MEL 159-1,B1,8,123,132,138,150,66,61.5,28.5,10,11.5,11.5,12,32,5.80,35.5,3,3
W8-169112,MEL 159-1,E4,<,123,133,143,160,66,57.5,31,14,10.5,11,10.5,37,4.15,36.0,3,3
W8-170111,MEL 160-1,B1,16,125,132,,166,68,49.5,24.5,15,12.5,11.5,12,32.5,4.78,38.1,2,2
W8-170112,MEL 160-1,E4,<,130,140,145,160,76,51,27.5,15,11.5,11,11,39.5,4.86,34.9,2,2
W8-171111,MEL 161-1,F2,>,113,123,126,166,70,57,29,13,9.5,10,9.5,33.5,4.74,43.2,1,1
W8-171112,MEL 161-1,C6,>,111,119,129,147,78,50,27.5,17,10,10,9.5,35.5,4.60,48.9,3,2
W8-172111,MEL 162-1,D4,<,132,143,,182,57,44.5,23.5,14,10.5,10.5,10.5,26.5,4.57,29.8,3,2
W8-172112,MEL 162-1,G7,<,139,152,171,201,61,43,24,14,10,11,11,30,3.68,25.9,0,0
W8-173111,MEL 163-2,E1,11,141,148,,196,46,32,21,19,15,10,14.5,25.5,2.34,18.1,0,1
W8-173112,MEL 163-2,A5,>,137,147,,193,48,29,20,24,11.5,12,12,25,2.44,21.7,3,2
W8-174111,MEL 164-1,G2,>,137,148,,196,78,59,24,14,10.5,11.5,11.5,28,5.16,35.4,1,1
W8-174112,MEL 164-1,D6,>,130,140,,175,95,57,32.5,16,11.5,11.5,11.5,38.5,5.58,41.2,1,2
W8-175111,MEL 165-1,C4,>,123,126,143,166,92,66.5,29.5,14,10.5,11.5,11,30.5,4.88,46.3,2,2
W8-175112,MEL 165-1,F7,>,125,133,,175,120,71,30,16,11,11,11.5,30,4.63,49.2,2,1
W8-176111,MEL 166-1a,A2,>,123,132,138,158,70,45.5,30.5,23,10.5,11,11,42,2.79,37.9,1,1
W8-176112,MEL 166-1a,E5,>,130,138,147,166,76,45.5,30,17,11,11,11.5,42.5,3.72,41.9,1,1
W8-177111,MEL 167-2,G2,<,125,139,150,175,74,51.5,30,16,12,12.5,12,42,3.66,40.1,1,2
W8-177112,MEL 167-2,D6,>,123,131,138,160,100,66,34.5,17,13,13,12,34.5,4.90,51.2,2,3
W8-178111,MEL 168-1a,G3,<,130,140,150,185,49,49.5,27,13,13,12,12,34,3.20,24.3,4,3
W8-178112,MEL 168-1a,C7,>,127,136,143,171,68,46.5,25,16,13,12,12,32,4.27,37.2,3,2
W8-179111,MEL 169-1c,D1,11,130,146,152,178,110,92.5,42.5,18,12.5,13,11,30.5,5.09,44.4,1,1
W8-179112,MEL 169-1c,G4,<,139,152,160,189,102,83.5,40,17,12.5,12.5,10.5,37.5,4.74,43.9,1,0
W8-180111,MEL 170-1b,C1,10,120,132,143,150,53,57,33,15,10.5,10.5,10,34,3.03,26.1,4,4
W8-180112,MEL 170-1b,G4,<,123,136,145,150,41,59.5,32.5,10,10.5,10,10,35,1.91,16.1,3,4
W8-181111,MEL 171-1a,C2,>,123,132,140,158,68,48.5,27,14,9.5,10,10,39,4.95,40.0,2,2
W8-181112,MEL 171-1a,F5,>,130,140,147,175,64,61,25.5,17,10,10.5,10,24.5,4.28,33.4,2,1
W8-182111,MEL 172-1,F2,<,125,134,143,175,50,56,26.5,10,10.5,10,10.5,27.5,4.24,24.7,1,0
W8-182112,MEL 172-1,C6,>,123,129,136,158,56,48.5,26.5,14,10,10,10,30.5,3.51,32.1,3,0
W8-183111,MEL 173-2,B2,>,120,130,136,158,92,61,33,24,11,10.5,10.5,38.5,3.99,46.9,3,3
W8-183112,MEL 173-2,F5,>,127,140,150,152,78,64.5,31.5,16,11,10,10,45.5,4.09,40.7,1,3
W8-184111,MEL 174-1,A3,>,125,132,140,160,69,68.5,36.5,14,12,12,11.5,38,3.99,34.9,2,2
W8-184112,MEL 174-1,E6,>,128,133,140,124,85,70,38.5,15,13,12.5,11,42,4.91,41.9,3,4
W8-185111,MEL 175-1,D3,<,132,144,150,175,37,28,17.5,19,10,10,10,27,2.20,17.5,3,2
W8-185112,MEL 175-1,A7,>,130,143,152,175,41,31.5,19,20,10,10.5,10,30.5,2.56,20.8,2,2
W8-186111,MEL 176-1,F2,<,123,132,136,158,66,45.5,26.5,14,11.5,11,10.5,35.5,4.27,32.4,1,1
W8-186112,MEL 176-1,B6,<,123,131,136,166,72,51,28,15,11,11,10.5,30.5,4.67,37.6,1,2
W8-187111,MEL 177a-1,B4,<,116,126,133,171,70,43,26,16,10.5,10,9.5,34,3.94,40.7,2,2
W8-187112,MEL 177a-1,E7,<,123,129,136,171,58,45,27,13,9,10,10,31,4.25,33.2,0,1
W8-188111,MEL 178-1a,A1,14,130,141,158,171,74,40,24,23,11.5,11,11,42,2.58,35.6,0,0
W8-188112,MEL 178-1a,E4,>,127,140,154,166,78,42,24,24,11,10,10,37.5,2.81,39.1,0,1
W8-189111,MEL 179-2,F3,>,137,147,158,175,49,47.5,22.5,17,11.5,11,11,23.5,2.75,25.3,3,2
W8-189112,MEL 179-2,B7,>,127,136,145,158,56,50.5,25,20,11,10.5,10.5,28,3.22,30.4,2,2
W8-190111,MEL 180-1,G2,<,125,139,158,175,44,45.5,26.5,17,8,8.5,8.5,30,1.88,22.6,2,2
W8-190112,MEL 180-1,D6,>,123,133,154,180,58,52,27,19,9,9,9,25,3.26,31.5,2,2
W8-191111,MEL 181-1,A3,>,125,137,158,166,90,72,40.5,16,10,10.5,10,43,4.03,47.3,2,2
W8-191112,MEL 181-1,D6,>,123,131,,166,102,68.5,39.5,19,11,11,9.5,40,4.12,52.1,1,1
W8-192111,MEL 182-1a,G3,>,130,143,154,160,64,50.5,28.5,21,9.5,10,10,41,2.52,31.0,1,2
W8-192112,MEL 182-1a,C7,>,127,134,143,150,62,59.5,29.5,18,11,10,10.5,33,3.13,25.7,2,1
W8-193111,MEL 183-1,C4,<,130,143,158,185,74,50.5,22.5,14,11,11,11.5,28,5.02,38.9,1,1
W8-193112,MEL 183-1,F7,<,132,143,152,182,64,43.5,21,16,11.5,11.5,12,35,4.23,35.5,1,1
W8-194111,MEL 184-1a,D1,7,125,134,143,160,78,47.5,26.5,12,11.5,12,12.5,45,5.35,41.7,0,1
W8-194112,MEL 184-1a,G4,<,123,136,150,175,84,53.5,26.5,11,11,12,12.5,42.5,4.74,35.9,1,0
W8-195111,MEL 185-1,D1,13,130,144,150,171,90,67,26.5,21,10,9.5,9.5,23,4.06,45.0,0,0
W8-195112,MEL 185-1,A5,<,132,147,154,178,70,54,27.5,16,9,8.5,8.5,29.5,3.09,32.8,1,1
W8-196111,MEL 186-1b,E3,>,130,141,150,175,76,48.5,28.5,17,11.5,12,12,37.5,3.34,37.4,1,0
W8-196112,MEL 186-1b,A7,>,130,138,147,182,86,53,30,16,11.5,12,11.5,31.5,4.45,40.9,1,0
W8-197111,MEL 187-1b,F2,>,130,139,166,182,60,47.5,26,15,11,11,11,31,3.86,32.9,1,1
W8-197112,MEL 187-1b,B6,>,127,136,,178,66,37.5,26.5,16,10.5,11.5,11.5,31,3.61,37.8,1,0
W8-198111,MEL 188-2,B3,>,132,141,150,185,68,44.5,24,18,12,11,11,30.5,3.70,34.5,1,1
W8-198112,MEL 188-2,E6,>,132,138,152,182,64,40,24,16,13,11,12,28,4.04,34.5,1,0
W8-199111,MEL 189-1,A2,<,125,134,147,171,57,44.5,25.5,14,9,10,9.5,33.5,4.16,31.9,1,1
W8-199112,MEL 189-1,D5,>,125,133,145,175,70,40.5,23,17,10,9.5,9.5,33.5,4.25,37.5,1,1
W8-200111,MEL 190-2,G3,<,134,150,150,196,65,50.5,26.5,16,11,12,10.5,23.5,3.02,24.0,1,0
W8-200112,MEL 190-2,D7,>,132,140,,180,48,43.5,23.5,14,11.5,11.5,11.5,24.5,3.12,24.1,1,1
W8-201111,MEL 191-1,E3,>,137,145,154,194,85,58.5,23,15,11.5,11.5,11,18,4.60,38.1,0,0
W8-201112,MEL 191-1,B7,>,137,147,158,196,86,51,25,17,12,11,11,24,4.51,40.0,0,0
W8-202111,MEL 192-1,D4,>,109,117,126,160,68,55,28.5,13,9.5,8.5,8.5,25,2.79,42.1,1,1
W8-202112,MEL 192-1,G7,<,109,117,129,158,54,48,29.5,10,8,9.5,9.5,32,2.49,35.4,1,1
W8-203111,MEL 193-1,B3,>,127,137,143,175,90,56,25.5,21,10,10.5,10.5,27,3.84,41.1,1,2
W8-203112,MEL 193-1,F6,<,127,138,147,166,90,56.5,27,18,10.5,10,10.5,31,3.90,32.4,1,1
W8-204111,MEL 194a-1,C3,>,125,137,143,150,106,67,45,20,10,10.5,10,49.5,3.52,51.8,2,1
W8-204112,MEL 194a-1,F6,>,132,143,152,175,108,76.5,40,17,10,11,10.5,34.5,3.94,39.2,1,1
W8-205111,MEL 195-1a,G1,11,139,151,160,193,112,80.5,41,17,15.5,14,14.5,30.5,4.92,52.0,1,1
W8-205112,MEL 195-1a,D5,>,132,145,152,180,112,70.5,35.5,14,15.5,14.5,14,31.5,5.93,49.2,1,0
W8-206111,MEL 196-1A,E1,12,130,141,152,175,84,53.5,19.5,17,12,12.5,12.5,30.5,4.95,46.3,0,0
W8-206112,MEL 196-1A,B5,>,132,143,154,189,66,53,28,13,12,11,11.5,26,4.54,33.2,0,0
W8-207111,MEL 197-2,D3,>,120,130,136,150,88,47,32.5,15,12.5,12.5,12,41.5,4.51,47.1,0,0
W8-207112,MEL 197-2,G6,<,120,131,140,166,100,48.5,32.5,15,13,13,13,40.5,4.20,46.4,1,1
W8-208111,MEL 198-1,F1,16,123,127,136,153,77,57,27,23,9.5,9,9,34.5,3.42,43.6,2,3
W8-208112,MEL 198-1,C5,>,120,126,131,150,53,54.5,25.5,18,10,10,9.5,30.5,3.08,26.1,4,4
W8-209111,MEL 199-1,F1,10,125,134,150,166,90,59,31,16,12,10.5,11.5,39,5.28,50.4,1,1
W8-209112,MEL 199-1,B5,>,127,138,,175,98,57,33.5,18,13,11.5,12,33,4.77,44.4,2,2
W8-210111,MEL 200-1b,A2,<,130,139,147,175,68,67.5,32,15,12.5,12.5,12,32.5,4.27,36.3,1,2
W8-210112,MEL 200-1b,E5,>,132,143,150,182,80,72,31.5,18,12,12.5,11,27,4.05,38.6,2,2
W8-211111,MEL 201-1,C1,14,130,144,,178,124,66,35,15,15,14.5,15,69.5,5.26,53.5,0,1
W8-211112,MEL 201-1,F4,>,139,150,,199,106,71,34.5,16,14,14,14.5,24.5,5.05,45.3,0,0
W8-212111,MEL 202-2,C2,<,130,141,147,182,64,64.5,32,12,9.5,9.5,9.5,25,4.09,28.8,3,3
W8-212112,MEL 202-2,G5,>,132,143,152,175,88,60,32.5,19,9,9.5,9,29.5,2.56,33.2,2,2
W8-213111,MEL 203-1,B1,8,125,137,143,154,62,49,32.5,18,10.5,9,10,37,2.64,30.5,2,3
W8-213112,MEL 203-1,E4,>,127,136,145,160,70,50.5,32.5,18,10.5,10,10,38.5,2.95,30.9,3,3
W8-214111,MEL 204-1,G3,<,137,150,166,206,62,42,29.5,15,13,11.5,12,42,4.02,30.6,0,0
W8-214112,MEL 204-1,D7,>,125,134,140,160,88,62,37.5,16,12,12,11.5,40,4.90,48.1,3,4
W8-215111,MEL 205-1a,C3,>,120,127,133,158,78,47.5,24,18,10,10.5,10,33.5,3.97,47.5,2,1
W8-215112,MEL 205-1a,F6,>,123,129,138,166,86,43,25.5,21,10.5,10.5,10.5,34.5,3.97,53.4,0,1
W8-216111,MEL 206a-1a,A2,>,125,137,150,171,87,53,32.5,27,13.5,13,13,40,3.36,47.4,2,2
W8-216112,MEL 206a-1a,E5,>,?,129,143,175,107,63.5,33,25,13,11,13.5,36,3.36,45.4,3,3
W8-217111,MEL 207-1,C2,<,123,130,136,150,80,68.5,32,13,11,11,11,37,5.31,43.4,3,2
W8-217112,MEL 207-1,G5,<,127,138,150,175,78,74.5,28,12,11,11,10,33,5.38,40.4,2,2
W8-218111,MEL 208-1,E2,<,132,146,154,193,70,50,28.5,15,12,11.5,12,32.5,4.47,31.2,1,1
W8-218112,MEL 208-1,B6,>,130,136,147,182,64,47.5,29.5,19,10.5,12,11.5,27.5,3.30,31.1,1,1
W8-219111,MEL 209-1,C1,8,113,118,150,150,90,42,29,19,12,12,13,36.5,2.48,42.1,0,0
W8-219112,MEL 209-1,F4,<,120,124,131,160,74,47.5,29,15,12.5,13,12.5,41.5,3.36,30.9,1,1
W8-220111,MEL 210-1a,B4,>,116,117,129,160,54,44.5,28.5,20,8.5,10,9.5,28.5,2.40,35.9,2,0
W8-220112,MEL 210-1a,E7,>,116,122,129,166,65,43,27.5,23,8.5,9.5,9.5,30,2.69,43.2,2,2
